date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,100,-100,-100,-60,100,-100,0,-6,100,100,-80,100,-100,-88,-19,-100,-100,100,-90,-100,100,85,-100,0,100,-100,0,100,100
2022-01-04,-100,-100,-100,0,100,-99,100,0,100,0,0,0,-100,0,0,-37,-100,-99,0,0,56,100,-46,0,100,-7,100,100,100
2022-01-05,-100,-13,-100,0,0,-100,100,0,100,0,0,0,-100,0,0,0,-100,62,0,0,100,1,0,0,0,0,0,100,100
2022-01-06,-100,0,-19,0,0,-92,0,0,0,0,0,100,-100,0,0,0,-100,0,0,0,100,0,0,0,0,0,0,75,100
2022-01-07,-100,0,0,0,0,0,-99,0,0,0,0,22,-100,0,0,0,-100,0,0,0,100,0,0,0,0,0,0,2,100
2022-01-10,-100,0,0,0,0,0,0,0,1,0,0,100,-100,0,0,0,-100,0,0,0,0,0,0,0,11,0,100,1,100
2022-01-11,-100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,-100,0,0,0,97,0,0,0,0,0,0,0,100
2022-01-12,-100,0,0,0,100,0,-100,0,1,0,0,0,-100,0,0,0,-100,0,0,0,0,0,0,0,12,0,100,100,100
2022-01-13,-100,0,0,0,21,0,0,0,0,0,0,100,-100,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,1,100
2022-01-14,-100,0,0,0,0,0,1,0,0,0,0,0,-100,0,0,0,-83,0,0,0,95,0,0,0,0,0,0,0,100
2022-01-18,-100,0,0,0,47,0,-2,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100
2022-01-19,-100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,100
2022-01-20,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,3,100
2022-01-21,-100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,2,100
2022-01-24,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,0,0,0,0,-412,0,0,0,-461,-227,0,-662,0,0,0,0,0,-251,0,-849,-877,-191,0,0,-223,0,-681,-585,-1544
2022-01-31,100,0,0,0,100,0,0,0,100,100,0,100,0,0,0,0,0,100,0,0,100,100,0,100,100,0,100,100,100
2022-02-01,100,0,0,0,100,0,0,0,100,100,0,100,0,0,0,0,0,100,0,0,100,100,0,100,100,0,100,100,100
